label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Heading,652,80,386,41,page_1.png,1695,2182
sub_head_1,726,121,234,41,page_1.png,1695,2182
sub_head_2,1376,319,270,35,page_1.png,1695,2182
para_1,700,352,331,35,page_1.png,1695,2182
key_1,71,390,385,23,page_1.png,1695,2182
val_1,68,416,387,28,page_1.png,1695,2182
key_2,458,385,190,28,page_1.png,1695,2182
val_2,460,418,188,28,page_1.png,1695,2182
key_3,651,385,113,28,page_1.png,1695,2182
val_3,651,413,115,33,page_1.png,1695,2182
key_4,768,387,190,28,page_1.png,1695,2182
val_4,770,416,190,28,page_1.png,1695,2182
key_5,963,390,183,26,page_1.png,1695,2182
val_5,961,418,183,28,page_1.png,1695,2182
key_6,1148,390,181,23,page_1.png,1695,2182
val_6,1146,416,181,31,page_1.png,1695,2182
key_7,1331,390,183,31,page_1.png,1695,2182
val_7,1326,418,186,33,page_1.png,1695,2182
key_8,1507,392,148,26,page_1.png,1695,2182
val_8,1512,418,141,33,page_1.png,1695,2182
key_9,65,448,693,28,page_1.png,1695,2182
val_9,72,474,688,31,page_1.png,1695,2182
key_10,758,450,207,26,page_1.png,1695,2182
val_10,758,476,204,28,page_1.png,1695,2182
key_11,965,448,690,33,page_1.png,1695,2182
val_11,962,478,693,31,page_1.png,1695,2182
key_12,67,504,82,31,page_1.png,1695,2182
val_12,69,532,85,33,page_1.png,1695,2182
key_13,149,504,155,28,page_1.png,1695,2182
val_13,151,532,148,31,page_1.png,1695,2182
key_14,299,504,82,28,page_1.png,1695,2182
val_14,299,537,85,28,page_1.png,1695,2182
key_15,381,506,258,31,page_1.png,1695,2182
val_15,379,537,263,26,page_1.png,1695,2182
key_16,642,506,261,26,page_1.png,1695,2182
val_16,644,537,256,26,page_1.png,1695,2182
key_17,905,506,303,26,page_1.png,1695,2182
val_17,900,537,310,28,page_1.png,1695,2182
key_18,1210,506,249,31,page_1.png,1695,2182
val_18,1208,537,254,28,page_1.png,1695,2182
key_19,1462,506,188,31,page_1.png,1695,2182
val_19,1459,539,193,28,page_1.png,1695,2182
key_20,65,562,447,28,page_1.png,1695,2182
val_20,70,594,443,27,page_1.png,1695,2182
key_21,513,562,443,32,page_1.png,1695,2182
val_21,513,597,446,27,page_1.png,1695,2182
key_22,956,564,265,24,page_1.png,1695,2182
val_22,962,589,257,35,page_1.png,1695,2182
key_23,1221,567,240,27,page_1.png,1695,2182
val_23,1221,597,238,27,page_1.png,1695,2182
key_24,1464,562,189,32,page_1.png,1695,2182
val_24,1464,594,189,30,page_1.png,1695,2182
key_25,65,622,404,21,page_1.png,1695,2182
val_25,67,646,396,36,page_1.png,1695,2182
key_26,463,622,401,26,page_1.png,1695,2182
val_26,466,651,394,28,page_1.png,1695,2182
