label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
key_1,611,97,107,16,product_lab_1.jpeg,1187,1600
val_1,727,94,93,21,product_lab_1.jpeg,1187,1600
key_2,608,116,65,18,product_lab_1.jpeg,1187,1600
val_2,728,116,222,45,product_lab_1.jpeg,1187,1600
key_3,608,163,39,18,product_lab_1.jpeg,1187,1600
val_3,725,164,214,16,product_lab_1.jpeg,1187,1600
key_4,607,182,44,16,product_lab_1.jpeg,1187,1600
val_4,730,181,149,16,product_lab_1.jpeg,1187,1600
key_5,609,198,68,16,product_lab_1.jpeg,1187,1600
val_5,730,197,123,16,product_lab_1.jpeg,1187,1600
key_6,610,216,72,16,product_lab_1.jpeg,1187,1600
val_6,731,215,32,15,product_lab_1.jpeg,1187,1600
key_7,608,233,71,13,product_lab_1.jpeg,1187,1600
val_7,728,230,37,16,product_lab_1.jpeg,1187,1600
key_8,612,249,42,15,product_lab_1.jpeg,1187,1600
val_8,725,246,208,15,product_lab_1.jpeg,1187,1600
key_9,611,263,57,18,product_lab_1.jpeg,1187,1600
val_9,732,263,67,15,product_lab_1.jpeg,1187,1600
key_10,610,281,80,15,product_lab_1.jpeg,1187,1600
val_10,731,278,207,19,product_lab_1.jpeg,1187,1600
key_11,607,299,106,15,product_lab_1.jpeg,1187,1600
val_11,726,297,82,15,product_lab_1.jpeg,1187,1600
key_12,609,313,101,16,product_lab_1.jpeg,1187,1600
val_12,727,313,58,13,product_lab_1.jpeg,1187,1600
key_13,606,330,119,18,product_lab_1.jpeg,1187,1600
val_13,732,327,100,16,product_lab_1.jpeg,1187,1600
key_14,866,326,47,21,product_lab_1.jpeg,1187,1600
val_14,920,327,77,21,product_lab_1.jpeg,1187,1600
key_15,612,348,90,15,product_lab_1.jpeg,1187,1600
val_15,733,346,33,19,product_lab_1.jpeg,1187,1600
key_16,804,346,93,19,product_lab_1.jpeg,1187,1600
val_16,898,346,45,18,product_lab_1.jpeg,1187,1600
key_17,29,404,43,23,product_lab_1.jpeg,1187,1600
val_17,79,403,146,24,product_lab_1.jpeg,1187,1600
key_18,257,405,25,23,product_lab_1.jpeg,1187,1600
val_18,294,403,149,24,product_lab_1.jpeg,1187,1600
key_19,41,440,39,22,product_lab_1.jpeg,1187,1600
val_19,28,473,68,21,product_lab_1.jpeg,1187,1600
val_19,29,505,65,23,product_lab_1.jpeg,1187,1600
val_19,28,538,64,21,product_lab_1.jpeg,1187,1600
val_19,33,569,59,21,product_lab_1.jpeg,1187,1600
val_19,31,602,61,21,product_lab_1.jpeg,1187,1600
val_19,32,696,59,28,product_lab_1.jpeg,1187,1600
val_19,30,761,62,26,product_lab_1.jpeg,1187,1600
key_20,250,438,82,27,product_lab_1.jpeg,1187,1600
val_20,102,472,255,22,product_lab_1.jpeg,1187,1600
val_20,105,506,180,21,product_lab_1.jpeg,1187,1600
val_20,102,534,260,24,product_lab_1.jpeg,1187,1600
val_20,101,568,308,22,product_lab_1.jpeg,1187,1600
val_20,102,602,335,22,product_lab_1.jpeg,1187,1600
val_20,105,634,123,23,product_lab_1.jpeg,1187,1600
val_20,105,667,16,21,product_lab_1.jpeg,1187,1600
val_20,103,701,298,24,product_lab_1.jpeg,1187,1600
val_20,106,735,123,18,product_lab_1.jpeg,1187,1600
val_20,102,767,308,21,product_lab_1.jpeg,1187,1600
key_21,519,436,93,30,product_lab_1.jpeg,1187,1600
val_21,509,473,131,25,product_lab_1.jpeg,1187,1600
val_21,509,505,133,21,product_lab_1.jpeg,1187,1600
val_21,513,537,128,21,product_lab_1.jpeg,1187,1600
val_21,512,569,129,21,product_lab_1.jpeg,1187,1600
val_21,509,600,134,25,product_lab_1.jpeg,1187,1600
val_21,508,694,133,32,product_lab_1.jpeg,1187,1600
val_21,509,767,131,23,product_lab_1.jpeg,1187,1600
key_22,650,439,68,21,product_lab_1.jpeg,1187,1600
val_22,650,474,68,20,product_lab_1.jpeg,1187,1600
val_22,651,538,68,20,product_lab_1.jpeg,1187,1600
val_22,655,569,60,21,product_lab_1.jpeg,1187,1600
val_22,656,601,59,23,product_lab_1.jpeg,1187,1600
val_22,652,696,65,28,product_lab_1.jpeg,1187,1600
val_22,653,762,62,26,product_lab_1.jpeg,1187,1600
val_22,656,504,59,27,product_lab_1.jpeg,1187,1600
key_23,735,437,124,23,product_lab_1.jpeg,1187,1600
val_23,802,473,62,22,product_lab_1.jpeg,1187,1600
val_23,801,505,67,22,product_lab_1.jpeg,1187,1600
val_23,800,534,67,25,product_lab_1.jpeg,1187,1600
val_23,788,568,79,21,product_lab_1.jpeg,1187,1600
val_23,818,695,47,30,product_lab_1.jpeg,1187,1600
val_23,791,763,76,23,product_lab_1.jpeg,1187,1600
key_24,896,436,94,25,product_lab_1.jpeg,1187,1600
val_24,950,596,62,31,product_lab_1.jpeg,1187,1600
key_25,1037,439,112,22,product_lab_1.jpeg,1187,1600
val_25,1083,472,81,21,product_lab_1.jpeg,1187,1600
val_25,1090,506,70,21,product_lab_1.jpeg,1187,1600
val_25,1087,539,74,16,product_lab_1.jpeg,1187,1600
val_25,1083,571,80,19,product_lab_1.jpeg,1187,1600
val_25,1083,602,77,24,product_lab_1.jpeg,1187,1600
val_25,1084,699,78,24,product_lab_1.jpeg,1187,1600
val_25,1083,762,78,25,product_lab_1.jpeg,1187,1600
