label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
key_1,53,180,134,30,product_lab_3.jpeg,1024,1536
val_1,246,180,112,26,product_lab_3.jpeg,1024,1536
key_2,51,212,88,26,product_lab_3.jpeg,1024,1536
val_2,250,208,274,96,product_lab_3.jpeg,1024,1536
key_3,55,314,146,24,product_lab_3.jpeg,1024,1536
val_3,248,316,112,26,product_lab_3.jpeg,1024,1536
key_4,55,342,178,28,product_lab_3.jpeg,1024,1536
val_4,252,344,288,22,product_lab_3.jpeg,1024,1536
key_5,59,370,70,24,product_lab_3.jpeg,1024,1536
val_5,244,368,110,28,product_lab_3.jpeg,1024,1536
key_6,53,395,138,24,product_lab_3.jpeg,1024,1536
val_6,250,397,48,22,product_lab_3.jpeg,1024,1536
key_7,53,423,162,26,product_lab_3.jpeg,1024,1536
val_7,246,425,54,20,product_lab_3.jpeg,1024,1536
key_8,51,451,134,22,product_lab_3.jpeg,1024,1536
val_8,244,449,132,26,product_lab_3.jpeg,1024,1536
key_9,57,477,70,24,product_lab_3.jpeg,1024,1536
val_9,252,475,118,26,product_lab_3.jpeg,1024,1536
key_10,49,505,104,26,product_lab_3.jpeg,1024,1536
val_10,246,503,106,24,product_lab_3.jpeg,1024,1536
key_11,53,531,108,24,product_lab_3.jpeg,1024,1536
val_11,252,531,98,28,product_lab_3.jpeg,1024,1536
key_12,63,673,96,26,product_lab_3.jpeg,1024,1536
val_12,63,885,102,30,product_lab_3.jpeg,1024,1536
val_12,61,953,104,32,product_lab_3.jpeg,1024,1536
val_12,61,1015,106,34,product_lab_3.jpeg,1024,1536
val_12,63,1081,106,30,product_lab_3.jpeg,1024,1536
val_12,59,1145,110,30,product_lab_3.jpeg,1024,1536
key_13,174,669,62,52,product_lab_3.jpeg,1024,1536
val_13,168,1206,78,28,product_lab_3.jpeg,1024,1536
val_13,168,1270,76,32,product_lab_3.jpeg,1024,1536
key_14,254,669,118,34,product_lab_3.jpeg,1024,1536
val_14,248,953,397,50,product_lab_3.jpeg,1024,1536
val_14,246,1015,324,30,product_lab_3.jpeg,1024,1536
val_14,248,1081,320,24,product_lab_3.jpeg,1024,1536
val_14,250,1145,324,26,product_lab_3.jpeg,1024,1536
val_14,248,1204,238,52,product_lab_3.jpeg,1024,1536
val_14,250,1272,372,64,product_lab_3.jpeg,1024,1536
key_15,746,673,66,30,product_lab_3.jpeg,1024,1536
val_15,740,953,90,30,product_lab_3.jpeg,1024,1536
val_15,746,1017,86,28,product_lab_3.jpeg,1024,1536
val_15,748,1077,80,34,product_lab_3.jpeg,1024,1536
val_15,740,1139,82,46,product_lab_3.jpeg,1024,1536
val_15,744,1202,80,34,product_lab_3.jpeg,1024,1536
val_15,742,1268,84,38,product_lab_3.jpeg,1024,1536
key_16,866,671,94,30,product_lab_3.jpeg,1024,1536
val_16,864,883,94,38,product_lab_3.jpeg,1024,1536
val_16,876,953,84,32,product_lab_3.jpeg,1024,1536
val_16,874,1017,86,38,product_lab_3.jpeg,1024,1536
val_16,870,1079,88,32,product_lab_3.jpeg,1024,1536
val_16,874,1141,84,34,product_lab_3.jpeg,1024,1536
val_16,872,1204,90,32,product_lab_3.jpeg,1024,1536
val_16,868,1268,94,36,product_lab_3.jpeg,1024,1536
val_16,866,1336,98,34,product_lab_3.jpeg,1024,1536
